reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
3,Tributary to Owen Creek,197378_ds_ef1,0,0,3,8.9,70,Lightly Turbid,electrofishing,1,1,235,7,3,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,5,43,56,,
3,Tributary to Owen Creek,197378_ds_ef1,0,0,3,8.9,70,Lightly Turbid,electrofishing,1,1,235,7,3,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,6,70,108,,
4,Tributary to Owen Creek,197378_us_ef1,0,0,4,8.9,70,Lightly Turbid,electrofishing,1,1,186,10,2.2,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,6,40,55,,
4,Tributary to Owen Creek,197378_us_ef1,0,0,4,8.9,70,Lightly Turbid,electrofishing,1,1,186,10,2.2,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,1,90,90,,
5,Riddeck Creek,197360_ds_ef1,0,0,5,11,197,Moderately Turbid,electrofishing,1,1,111,4,3.38,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,2,54,59,,
6,Riddeck Creek,197360_us_ef1,0,0,6,10.1,222,Lightly Turbid,electrofishing,1,1,152,12,1.45,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,1,58,58,,
7,Thompson Creek,123377_us_ef1,0,0,7,7.2,272,lightly turbid,electrofishing,1,1,153,4,4.4,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Coho Salmon,parr,,9,84,98,,
7,Thompson Creek,123377_us_ef1,0,0,7,7.2,272,lightly turbid,electrofishing,1,1,153,4,4.4,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Dolly Varden,juvenile,,3,111,120,,
7,Thompson Creek,123377_us_ef1,0,0,7,7.2,272,lightly turbid,electrofishing,1,1,153,4,4.4,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,3,91,100,,
7,Thompson Creek,123377_us_ef1,0,0,7,7.2,272,lightly turbid,electrofishing,1,1,153,4,4.4,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,adult,,2,145,160,,
8,Thompson Creek,123377_us_ef2,0,0,8,7.2,272,lightly turbid,electrofishing,1,1,332,15,3.2,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Coho Salmon,parr,,2,85,85,,
8,Thompson Creek,123377_us_ef2,0,0,8,7.2,272,lightly turbid,electrofishing,1,1,332,15,3.2,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,8,52,63,,
8,Thompson Creek,123377_us_ef2,0,0,8,7.2,272,lightly turbid,electrofishing,1,1,332,15,3.2,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,3,66,70,,
9,Thompson Creek,123377_us_ef3,0,0,9,7.2,272,lightly turbid,electrofishing,1,1,252,8,2.35,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Coho Salmon,parr,,3,79,109,,
9,Thompson Creek,123377_us_ef3,0,0,9,7.2,272,lightly turbid,electrofishing,1,1,252,8,2.35,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,1,62,62,,
9,Thompson Creek,123377_us_ef3,0,0,9,7.2,272,lightly turbid,electrofishing,1,1,252,8,2.35,Open,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,1,70,70,,
10,Thompson Creek,123377_ds_ef1,0,0,10,7.2,272,clear,electrofishing,1,1,204,9,2.35,Closed,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,1,63,63,,
10,Thompson Creek,123377_ds_ef1,0,0,10,7.2,272,clear,electrofishing,1,1,204,9,2.35,Closed,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,2,68,105,,
10,Thompson Creek,123377_ds_ef1,0,0,10,7.2,272,clear,electrofishing,1,1,204,9,2.35,Closed,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,juvenile,,1,124,124,,
11,Thompson Creek,123377_ds_ef2,0,0,11,7.2,272,clear,electrofishing,1,1,196,8,2.47,Closed,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,fry,,1,59,59,,
11,Thompson Creek,123377_ds_ef2,0,0,11,7.2,272,clear,electrofishing,1,1,196,8,2.47,Closed,250,60,,other,halltech HT2000,,,,,,,,,,,,Rainbow Trout,parr,,3,69,105,,
14,Tributary to Coal Creek,8525_ds_ef1,0,0,14,6.7,133,Moderately Turbid,electrofishing,1,1,274,8,1.8,Open,350,60,,other,halltech HT2000,,,,,,,,,,,,Dolly Varden,parr,,2,85,87,,
