reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
9,Pinenut Creek,198222_ds,00000KISP,0,9,minnow trapping,1,1,Dolly Varden,115,,,,,,,,,photo MW
9,Pinenut Creek,198222_ds,00000KISP,0,9,minnow trapping,1,1,Dolly Varden,108,,,,,,,,,photo MW
9,Pinenut Creek,198222_ds,00000KISP,0,9,minnow trapping,2,1,Dolly Varden,124,,,,,,,,,photo MW
9,Pinenut Creek,198222_ds,00000KISP,0,9,minnow trapping,2,1,Dolly Varden,109,,,,,,,,,photo MW
9,Pinenut Creek,198222_ds,00000KISP,0,9,minnow trapping,2,1,Dolly Varden,135,,,,,,,,,photo MW
9,Pinenut Creek,198222_ds,00000KISP,0,9,minnow trapping,2,1,Dolly Varden,105,,,,,,,,,photo MW
10,Pinenut Creek,198222_us,00000KISP,0,10,minnow trapping,1,1,Dolly Varden,133,,,,,,,,,photo MW
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),76,7.3,,,,,,,,3DD.003E1929EE. Row ID 1.
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),55,5.4,,,,,,,,
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),48,4.8,,,,,,,,Photo 12:56 AI
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),48,2.8,,,,,,,,
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),51,2.3,,,,,,,,
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),52,2.1,,,,,,,,
16,Sandstone Creek,8530_ds_ef1,00000ZYMO,0,16,electrofishing,1,1,Cutthroat Trout (General),44,2.7,,,,,,,,
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Cutthroat Trout (General),137,29.2,,,,,,,,3DD.003E1929A2. Photo 13:36. Row ID 2.
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Cutthroat Trout (General),149,35.2,,,,,,,,3DD.003E1929E1. Row ID 3.
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Cutthroat Trout (General),76,4.3,,,,,,,,3DD.003E1929DC. Row ID 4.
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Cutthroat Trout (General),107,14.9,,,,,,,,3DD.003E1929B7. Row ID 5.
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Dolly Varden,96,12,,,,,,,,3DD.003E1929B6. Row ID 6.
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Cutthroat Trout (General),98,12.6,,,,,,,,3DD.003E1929EF. Row ID 7.
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,electrofishing,1,1,Cutthroat Trout (General),52,4.8,,,,,,,,
