reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Tea Creek,198220_us,00000KISP,0,1,3.6,4.1,3.2,4.5,3.4,6.1,,4.15,metre tape,1.9,3.1,1.6,3,2.1,5.2,,2.8166666666666664,metre tape,0.3,0.3,0.7,,,,,0.4333333333333333,metre stick,0.5,0.4,0.5,,0.46666666666666656,metre stick,3,2.5,5,5,0.03875,clinometer,moderate,,11.6,recording meter,291,recording meter,8.4,pH meter (general),clear,moderate,dominant,sub-dominant,sub-dominant,sub-dominant,trace,sub-dominant,none,1-20%,few,clumped,none,undercut,cobbles,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,,,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Moderate value habitat. Only a few areas with fines suitable for spawning. Mostly cobbles in stream. Wide channel throughout with a lot of woody debris. Large amounts of undercut banks that can provide cover. But not many deep pools. Some steep eroding banks found every  so often. 15:47:55
2,Tributary to Skeena River,198217_ds,00000KISP,0,2,4.7,4.5,5.1,5.6,,,,4.975,metre tape,4.4,3,1.9,2.4,,,,2.9250000000000003,metre tape,0.5,0.4,,,,,,0.45,metre stick,0.5,0.3,,,0.4,metre stick,1,2.5,,,0.0175,clinometer,moderate,,9.2,recording meter,133,recording meter,7.599999999999999,pH meter (general),Lightly Turbid,moderate,sub-dominant,dominant,none,trace,trace,trace,trace,1-20%,few,clumped,vascular plants,sloping,fines,,wetland,shrub,sloping,fines,,shrubs,shrub,fines,gravels,,,,sinuous,Decoupled,unconfined,beaver dam,1,14,ground estimate,9,582912,6130469,GPS General,"Mostly wetland habitat, with 3 big beaver dams spaced evenly along surveyed length. Multiple channels after first beaver dam, separated by heavily vegetated banks. Muddy bed material with some fines and gravels but nothing bigger. More gravels closer to downstream culvert that are suitable for spawning. Deep pools near wetland that can be suitable for rearing if habitat is opened up. 10:13:24"
3,Tributary to Skeena River,198216_ds,00000KISP,0,3,,,,,,,,,metre tape,,,,,,,,,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,clinometer,,,,recording meter,,recording meter,,pH meter (general),,none,sub-dominant,sub-dominant,none,none,sub-dominant,trace,dominant,1-20%,few,clumped,vascular plants,sloping,fines,,wetland,shrub,sloping,fines,,wetland,shrub,fines,gravels,,,,sinuous,Decoupled,unconfined,beaver dam,1,13,ground estimate,9,583122,6130290,GPS General,Open wetland habitat with shrubs and floodplain. Beaver dam approx 100m downstream of culvert. 11:40:52
4,Dale Creek,198215_us,00000KISP,0,4,4.8,2.6,2.9,5.8,3.6,2.8,,3.75,metre tape,2.2,1.9,2.2,2.9,2.4,2.2,,2.3000000000000003,metre tape,0.3,0.6,0.5,0.5,0.6,,,0.5,metre stick,0.3,0.3,0.4,,0.33333333333333326,metre stick,7,6,7,8,0.07,clinometer,moderate,,10,recording meter,164,recording meter,8.3,pH meter (general),clear,moderate,sub-dominant,dominant,sub-dominant,trace,sub-dominant,sub-dominant,none,21-40%,abundant,clumped,none,V-shaped,boulders,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,boulders,1.9,0.5,,straight,Partially Coupled,frequently confined,,,,,,,,,"Moderate value habitat. Numerous cascades that are approx 1m in height, with deep pools below. Wide stream throughout with abundant large woody debris. Dam upstream. Average gradient of 7. Trace areas with gravels that could be suitable for spawning. 12:58:40"
5,Dale Creek,198215_ds,00000KISP,0,5,5.3,,,,,,,5.3,metre tape,2.1,,,,,,,2.1,metre tape,0.8,,,,,,,0.8,metre stick,0.4,,,,0.4,metre stick,11,,,,0.11,clinometer,high,,10,recording meter,164,recording meter,8.3,pH meter (general),clear,trace,trace,sub-dominant,dominant,trace,trace,sub-dominant,none,1-20%,none,not applicable,none,sloping,cobbles,,deciduous forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,1.4,0.8,,straight,Decoupled,occasionally confined,,,,,,,,,Steep stretch but good moderate value habitat. Mostly cobbles with some gravels. Parking block approx. 0.7m in height that was used to attempt to backwater the outler. 14:38:38
6,Sandstone Creek,8530_us,00000ZYMO,0,6,4.9,3.7,3.1,3.2,4.4,3.2,,3.75,metre tape,2.6,2.8,2.1,2.9,1.8,1.5,,2.2833333333333337,metre tape,0.7,0.6,0.4,,,,,0.5666666666666665,metre stick,0.3,0.3,0.5,,0.3666666666666667,metre stick,3,4,3,3,0.0325,clinometer,moderate,,6.4,recording meter,90,recording meter,7.4,pH meter (general),clear,moderate,dominant,sub-dominant,trace,sub-dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,cobbles,gravels,0.9,0.6,,sinuous,Decoupled,unconfined,,,,,,,,,"Moderate value habitat. Abundant cover from woody debris, overhanging vegetation and undercut banks. Wide channel throughout with graveled areas suitable for spawning. Trace distribution of deep pools suitable for rearing. A couple smaller cascades (<1m in height) that may block smaller fish. 11:23:33"
7,Sandstone Creek,8530_ds_ef2,00000ZYMO,0,7,3.4,3.8,3.8,,,,,3.6666666666666665,metre tape,3.2,3.6,3.2,,,,,3.333333333333333,metre tape,,,,,,,,,,,,,,,,,,,,,,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,trace,dominant,trace,trace,sub-dominant,none,21-40%,none,not applicable,none,V-shaped,fines,,coniferous forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,boulders,,,,,,,,,,,,,,,Bedrock pools at top end of site. Cascade and riffle pools with lots of cover. 13:58:20
8,Sandstone Creek,8530_ds_ef3,00000ZYMO,0,8,2.9,6.3,,,,,,4.6,metre tape,2.6,5.7,,,,,,4.15,metre tape,,,,,,,,,,,,,,,,7,,,,0.07,clinometer,moderate,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,trace,dominant,trace,trace,sub-dominant,none,1-20%,none,not applicable,none,V-shaped,cobbles,,shrubs,shrub,sloping,gravels,,coniferous forest,mature forest,cobbles,gravels,,,,straight,Decoupled,confined,,,,,,,,,"Mostly riffles, steep section. Some deep pools at top end of site where the channel is much wider. Mostly cobbles with some gravels and boulders. 14:39:58"
9,Pinenut Creek,198222_ds,00000KISP,0,9,8.9,10.1,7.2,7.7,8.9,5.8,,8.099999999999998,,3.4,8.9,5.2,4.9,6.6,3.7,,5.45,,0.44,0.56,0.53,,,,,0.51,metre stick,,,,,,,4,5,5,4,0.045,clinometer,moderate,,9.7,recording meter,75,recording meter,8.199999999999998,pH meter (general),clear,trace,trace,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,none,sloping,cobbles,,deciduous forest,young forest,sloping,cobbles,,mixed forest,young forest,cobbles,gravels,,,,irregular meanders,Decoupled,frequently confined,,,,,,,,,No comments provided. 13:29:27
10,Pinenut Creek,198222_us,00000KISP,0,10,20.3,8.3,11.7,15,11,12.4,,13.116666666666667,,4.7,6.1,6,6,7,4.6,,5.7333333333333325,,0.3,0.5,0.35,0.46,,,,0.4025,metre stick,0.62,0.67,0.6,,0.63,metre stick,2.5,3,4.5,4.5,0.03625,clinometer,moderate,,9.7,recording meter,75,recording meter,8.199999999999998,pH meter (general),,trace,trace,trace,dominant,sub-dominant,trace,trace,none,1-20%,few,clumped,none,overhanging bank,fines,,mixed forest,mature forest,undercut,fines,,mixed forest,mature forest,cobbles,boulders,,20,,irregular wandering,Decoupled,frequently confined,,,,,,,,,"Medium value habitat for ST, DV, CCT and CO. Approximately 500m upstream of crossing. This is a high energy system with numerous areas of multiple channel and islands and elevated bars. High flows are pushing most large woody debris out of the main channel resulting in lower complexity and most cover was available as boulders. There are rare pockets of gravel suitable for spawning. 13:44:56"
