rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
,2023-09-19,8478,,AI,9,590064.8073542411,6069866.591804451,Tributary to McDonell Lake ,Dennis West FSR,,BCTS R22433,Closed Bottom Structure,Round Culvert,1.9,12,No,,No,No,,1.5,0.2,0.25,Yes,4,3,8,No,Yes,Deep Fill,Medium,,,"Pipe is in good condition. Nice habitat, upstream and downstream. Very good flow for time of year. Dolly Varden captured upstream and downstream of crossing.         13:30:02",,,,2023-09-19T13:30:02Z,newgraph_airvine,8478
,2023-09-19,8518,,MW ,9,605028.2935763696,6069687.168315488,White Swan Creek,Spur,,MOF 7552,Other,Ford,8,2,No,,No,No,,,,,No,,,,No,No,,,,,Located on deactivated road section. 17:40:20,,,,2023-09-19T17:40:20Z,MateoW,8518
,2023-09-18,8525,,MW TP VJ,9,580998.3240278856,6074681.18739851,Tributary to Coal Creek,McDonell FSR,,MOF 7552,Closed Bottom Structure,Round Culvert,0.9,28,No,,No,No,,2,0.5,0.2,No,1,1.4,4,No,No,Deep Fill,Medium,,,Small flowing stream. Fish captured in minnow traps in 2022. 09:57:03,,,,2023-09-18T09:57:03Z,MateoW,8525
,2023-09-18,8529,,AI,9,582404.7045537125,6075433.60012972,Tributary to Coal Creek,Spur,,MOF 7552,Open Bottom Structure,Bridge,9,5,No,,No,No,,,,,No,,,,No,No,,,,,This crossing was a wooden box culvert at time of last assessment.                     15:17:59,,,,2023-09-18T15:17:59Z,newgraph_airvine,8529
,2023-09-20,8543,,MW JO RB,9,592142.0534762652,6072356.542446292,Tributary to McDonell Lake,McDonell Lake FSR ,23,Wetzinkwa Community Forest Corporation,Closed Bottom Structure,Round Culvert,1.2,14,No,,No,No,,1,0.5,0.8,No,3,1.8,5,No,No,Deep Fill,Medium,,,"Small trickle in stream, low flow. Stream runs halfway down culvert from inlet and then flows through holes underneath culvert. Stream gets wider upstream of crossing. Fish caught in the past above and below culvert. Deep outlet pool. 09:49:51",,,,2023-09-20T09:49:51Z,MateoW,8543
,2023-11-01,8547,,AR AF,9,589987.7634165394,6072656.680187678,Tributary to McDonell Lake,McDonell Lake FSR,,Wetzinkwa Community Forest Corporation,Closed Bottom Structure,Round Culvert,0.9,20,No,,No,No,,3,0.7,0.5,No,3,0.95,3,No,No,Deep Fill,High,,,"2 round culverts, one is not functional and was installed higher above stream channel. Culvert slope was estimated. 13:34:15",,,,2023-11-01T13:34:15Z,andyr,8547
,2023-09-24,58067,,MW,9,609733.7127585472,6092876.843676887,Gramophone Creek,Telkwa High Rd,,MOTI Local,Closed Bottom Structure,Oval Culvert,4.05,12.2,No,,No,No,,1.2,0.3,0.8,No,2,6.1,5,No,No,Deep Fill,High,,,"Two pipes, one does not have flow. Wide channel upstream. Ministry of Transportation chris_culvert_id: 1514887 and 1514888. 10:26:15",,,,2023-09-24T10:26:15Z,MateoW,58067
,2023-09-14,123377,,MW,9,641623.1405729636,6049397.337778317,Thompson Creek,Walcott Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,2.1,28,No,,No,No,,1,0.3,0.3,No,0.5,4.1,2.5,No,No,Deep Fill,High,,,Two pipes. Water flowing through both. Runs through agricultural field downstream. Ministry of Transportation chris_culvert_id: 2078028 and 2078027. 08:48:32,,,,2023-09-14T08:48:32Z,MateoW,123377
,2023-09-15,124500,,MW AI TP VJ,9,627551.057916506,6058696.795467486,Helps Creek,Lawson Rd,,MOTI Local,Closed Bottom Structure,Round Culvert,1.5,14.5,No,,No,No,,0.8,0,1.4,No,1,3.2,2,Yes,No,Deep Fill,Medium,,,"Standing water, beaver grate on inlet side. Deep outlet pool.  Ministry of Transportation chris_culvert_id: 1520736. 11:39:58",,,,2023-09-15T11:39:58Z,MateoW,124500
,2023-09-13,197365,,AI MW,9,643613.7822887987,6003253.466182898,Tributary to Owen Creek,Morice-Owen FSR,34,MOF 9947,Closed Bottom Structure,Round Culvert,0.9,17.5,No,,No,No,,1,0.3,0.5,No,3,1.5,3,No,No,Deep Fill,Low,,, Stream dry at time of survey. Inlet is very damaged with large inlet drop due to unravelling pipe. Gravels present upstream. 10:46:27,,,,2023-09-13T10:46:27Z,newgraph_airvine,197365
