rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
,2023-09-12,,13900100,,10,650773.6873286997,5934860.772765057,Snowshoe Creek,Highway 16a,,MOTI,Closed Bottom Structure,Oval Culvert,3.1,44,No,,No,No,,4.5,0.35,2,No,2,15,0.5,No,No,Deep Fill,High,,, MOT Chris Highway structure Road ID 3751. Major structure.    Incredible spawning and rearing habitat upstream. Massive outlet pool with erosion indicates cover is extremely under sized.               Ministry of Transportation chris_hwy_structure_road_id: 3751. 10:54:33,,,,2023-09-12T10:54:33Z,newgraph_airvine,13900100
,2023-10-03,,13900026,,10,611034.7213248102,5968655.3267809665,Tributary to Fraser River,Penny Rd,,Unknown,Closed Bottom Structure,Round Culvert,0.6,10,No,,No,No,,0.8,0,0,No,3,1.4,2,No,No,Deep Fill,Medium,,,"Small stream, overgrown with vegetation in sections. Pipenis plastic. Some gravels present, moderate flow. Rail crossing just upstream that appears passable. Downstream crossings on private property. 11:30:44",,,,2023-10-03T11:30:44Z,MateoW,13900026
,2023-10-03,,13900028,,10,612134.653031615,5967622.647937743,Tributary to Fraser River ,Penny street,,MOTI,Closed Bottom Structure,Round Culvert,1.4,10,No,,No,No,,0.3,0,1,No,1.5,3.4,3,No,No,Deep Fill,Medium,,,Nice stream with good flow. Railway crossings approximately 30 m upstream are much more of a barrier then the crossing on Penny Street.           11:19:24,,,,2023-10-03T11:19:24Z,newgraph_airvine,13900028
,2023-10-03,,13900043,,10,569894.8557245847,5996571.709056567,Tributary to Fraser River ,Upper Fraser Rd,,MOTI,Closed Bottom Structure,Round Culvert,0.95,54,No,,No,No,,4,0.6,0.2,No,2,2.3,4,No,No,Deep Fill,Medium,,,Chinook confirmed upstream in 2018. Structure goes under highway and railway. Culvert visible at inlet but outlet has different structure. Slope estimated. Small step at outlet creating drop.  Ministry of Transportation chris_culvert_id: 1994444. 17:35:22,,,,2023-10-03T17:35:22Z,MateoW,13900043
,2023-10-03,,13900050,,10,582105.3611710836,5989824.900637737,Tributary to Fraser River ,Upper Fraser Rd,,MOTI,Closed Bottom Structure,Round Culvert,0.8,12,No,,No,No,,1.2,0,0,No,2,1.2,1.5,No,No,Deep Fill,Low,,,"No well defined stream channel visible. Flooded wetland area downstream, surveyed during heavy rain. Backwatered pipe.  Ministry of Transportation chris_culvert_id: 1994950. 16:43:39",,,,2023-10-03T16:43:39Z,MateoW,13900050
,2023-10-03,,13900052,,10,587884.5379828409,5985390.268464293,Robinson Creek,Upper Fraser Rd,,MOTI,Closed Bottom Structure,Round Culvert,0.9,18,No,,No,No,,1,0,0,No,3,1.6,2.5,No,No,Deep Fill,Medium,,,"Small channel, no outlet drop or pool. Moderate flow, a lot of grassy vegetation on stream banks downstream. Ministry of Transportation chris_culvert_id: 1994901. 15:31:18",,,,2023-10-03T15:31:18Z,MateoW,13900052
,2023-10-03,,13900094,,10,584226.8062386758,5988492.556194134,Tributary to Fraser River,Upper Fraser Road ,,MOTI,Closed Bottom Structure,Round Culvert,0.8,19.5,No,,No,No,,1.2,0,0.2,No,2,1.8,4.5,Yes,No,Deep Fill,Medium,,,Newly installed pipe. Good flow with beaver activity prevalent upstream and downstream. Ministry of Transportation chris_culvert_id: 1994777. 16:14:28,,,,2023-10-03T16:14:28Z,newgraph_airvine,13900094
,2023-10-03,,13900252,,10,590793.6323976169,5982763.274160355,Wolfe Creek,Upper Fraser Rd,,MOTI,Closed Bottom Structure,Round Culvert,3.3,7,No,,No,Yes,100,1,0,0,No,1,4.1,2,No,No,Deep Fill,High,,,"Wide channel, four culverts. Culvert diameter totaled between 4. 2 are in good condition, other two are bent and look older. Railway crossing just upstream, three culverts, appears passable. Abundant gravels present downstream of road. Ministry of Transportation chris_culvert_id: 1994890. 14:48:37",,,,2023-10-03T14:48:37Z,MateoW,13900252
,2023-10-03,,13900283,,10,558697.455055153,5995816.045380619,Tributary to Aleza Lake,Upper Fraser Rd,,MOTI,Closed Bottom Structure,Round Culvert,2,14,No,,No,Yes,100,2.5,0,0.7,No,0,2.5,0,Yes,No,Deep Fill,Medium,,,To 1 m pipes on the south side of the railway. It is not clear where the stream crosses under the railway that crossing still needs to be assessed.  Agricultural field located upstream with what appears to be very minimal riparian buffer. Stream has been channelized beside the railway.  A 1 m overflow pipe has been installed above the level of the other 2 pipes.       Ministry of Transportation chris_culvert_id: 1994680. 18:08:11,,,,2023-10-03T18:08:11Z,newgraph_airvine,13900283
,2023-10-03,,13900305,,10,605975.9868421396,5971827.401747587,Tributary to Fraser River,Penny Rd,,Unknown,Closed Bottom Structure,Round Culvert,0.9,6,No,,No,No,,0.5,0,0,Yes,1,2.2,2,No,No,Deep Fill,Low,,,Stream dry the time assessment. Flows through agricultural field on both sides. Very minimal willow and cottonwood riparian. Stream is not in maps location. Road embankment is sloughing around the inlet with pipe 50% blocked due to the road fill.           13:20:38,,,,2023-10-03T13:20:38Z,newgraph_airvine,13900305
