reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel,rowid
1,Tributary to Zymoetz River,8543_ds,stream,,,,,,2023-09-20,,9,592248,6072202,,,1
2,Tributary to McDonell Lake,8547_ds,stream,,,,,,2023-09-20,,9,590138,6072526,,,2
3,Tributary to Owen Creek,197378_ds_ef1,stream,,,,,,2023-09-13,,9,645112,5998805,,,3
4,Tributary to Owen Creek,197378_us_ef1,stream,,,,,,2023-09-13,,9,645029,5998834,,,4
5,Riddeck Creek,197360_ds_ef1,stream,,,,,,2023-09-13,,9,649898,5992410,,,5
6,Riddeck Creek ,197360_us_ef1,stream,,,,,,2023-09-13,,9,650116,5992672,,,6
7,Thompson Creek,123377_us_ef1,stream,,,,,,2023-09-14,,9,641658,6049371,,,7
8,Thompson Creek,123377_us_ef2,stream,,,,,,2023-09-14,,9,641655,6049351,,,8
9,Thompson Creek,123377_us_ef3,stream,,,,,,2023-09-14,,9,641670,6049329,,,9
10,Thompson Creek,123377_ds_ef1,stream,,,,,,2023-09-14,,9,641612,6049412,,,10
11,Thompson Creek,123377_ds_ef2,stream,,,,,,2023-09-14,,9,641614,6049407,,,11
12,Tributary to Houston Tommy Creek,14001106_us,stream,,,,,,2023-09-16,,9,631517,6018098,,,12
13,Tributary to Houston Tommy Creek,14000571_ds,stream,,,,,,2023-09-16,,9,631740,6017146,,,13
14,Tributary to Coal Creek,8525_ds_ef1,stream,,,,,,2023-09-18,,9,580868,6074610,,,14
15,Tributary to Coal Creek,8525_ds_ef2,stream,,,,,,2023-09-18,,9,580903,6074626,,,15
16,Tributary to Coal Creek,8525_ds_ef3,stream,,,,,,2023-09-18,,9,580964,6074661,,,16
17,Tributary to Coal Creek,8525_us_ef1,stream,,,,,,2023-09-18,,9,581060,6074703,,,17
18,Tributary to Coal Creek,8525_us_ef2,stream,,,,,,2023-09-18,,9,581107,6074730,,,18
19,Tributary to Coal Creek,8525_us_ef3,stream,,,,,,2023-09-18,,9,581213,6074795,,,19
20,Tributary to McDonell Lake,8478_ds_ef1,stream,,,,,,2023-09-19,,9,589978,6069951,,,20
21,Tributary to McDonell Lake,8478_ds_ef2,stream,,,,,,2023-09-19,,9,589993,6069933,,,21
22,Tributary to McDonell Lake,8478_ds_ef3,stream,,,,,,2023-09-19,,9,590022,6069913,,,22
23,Tributary to McDonell Lake,8478_us,stream,,,,,,2023-09-19,,9,590074,6069851,,,23
24,Tributary to McDonell Lake,8547_us,stream,,,,,,2023-09-20,,9,589985,6072668,,,24
