rowid,reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel,time
1,,Tributary to Zymoetz River,8543_ds,stream,,,,,,2023-09-20,,9,592248,6072202,,,12:49:38
2,,Tributary to McDonell Lake,8547_ds,stream,,,,,,2023-09-20,,9,590138,6072526,,,15:04:49
3,,Tributary to Owen Creek,197378_ds_ef1,stream,,,,,,2023-09-13,,9,645112,5998805,,,12:12:24
4,,Tributary to Owen Creek,197378_us_ef1,stream,,,,,,2023-09-13,,9,645029,5998834,,,13:37:09
5,,Riddeck Creek,197360_ds_ef1,stream,,,,,,2023-09-13,,9,649898,5992410,,,15:09:08
6,,Riddeck Creek ,197360_us_ef1,stream,,,,,,2023-09-13,,9,650116,5992672,,,16:05:22
7,,Thompson Creek,123377_us_ef1,stream,,,,,,2023-09-14,,9,641658,6049371,,,10:01:35
8,,Thompson Creek,123377_us_ef2,stream,,,,,,2023-09-14,,9,641655,6049351,,,11:04:26
9,,Thompson Creek,123377_us_ef3,stream,,,,,,2023-09-14,,9,641670,6049329,,,11:39:43
10,,Thompson Creek,123377_ds_ef1,stream,,,,,,2023-09-14,,9,641612,6049412,,,13:38:14
11,,Thompson Creek,123377_ds_ef2,stream,,,,,,2023-09-14,,9,641614,6049407,,,14:34:02
12,,Tributary to Houston Tommy Creek,14001106_us,stream,,,,,,2023-09-16,,9,631517,6018098,,,10:44:37
13,,Tributary to Houston Tommy Creek,14000571_ds,stream,,,,,,2023-09-16,,9,631740,6017146,,,12:48:01
14,,Tributary to Coal Creek,8525_ds_ef1,stream,,,,,,2023-09-18,,9,580868,6074610,,,11:09:56
15,,Tributary to Coal Creek,8525_ds_ef2,stream,,,,,,2023-09-18,,9,580903,6074626,,,12:15:17
16,,Tributary to Coal Creek,8525_ds_ef3,stream,,,,,,2023-09-18,,9,580964,6074661,,,12:51:52
17,,Tributary to Coal Creek,8525_us_ef1,stream,,,,,,2023-09-18,,9,581060,6074703,,,14:09:44
18,,Tributary to Coal Creek,8525_us_ef2,stream,,,,,,2023-09-18,,9,581107,6074730,,,15:52:11
19,,Tributary to Coal Creek,8525_us_ef3,stream,,,,,,2023-09-18,,9,581213,6074795,,,16:39:59
20,,Tributary to McDonell Lake,8478_ds_ef1,stream,,,,,,2023-09-19,,9,589978,6069951,,,11:17:08
21,,Tributary to McDonell Lake,8478_ds_ef2,stream,,,,,,2023-09-19,,9,589993,6069933,,,13:09:28
22,,Tributary to McDonell Lake,8478_ds_ef3,stream,,,,,,2023-09-19,,9,590022,6069913,,,13:26:55
23,,Tributary to McDonell Lake,8478_us,stream,,,,,,2023-09-19,,9,590074,6069851,,,14:25:27
24,,Tributary to McDonell Lake,8547_us,stream,,,,,,2023-09-20,,9,589985,6072668,,,10:41:30
25,,Tributary to McDonell Lake,8547_ds_ef1,stream,,,,,,2023-09-20,,9,590042,6072583,,,14:15:52
26,,Tributary to McDonell Lake,8547_ds_ef2,stream,,,,,,2023-09-20,,9,590011,6072605,,,14:26:23
27,,Tributary to McDonell Lake,8547_ds_ef3,stream,,,,,,2023-09-20,,9,589992,6072647,,,15:12:35
28,,Tributary to McDonell Lake ,8547_us_ef1,stream,,,,,,2023-09-20,,9,589978,6072679,,,15:42:11
29,,Tributary to McDonell Lake,8547_us_ef2,stream,,,,,,2023-09-20,,9,589975,6072693,,,15:51:17
30,,Tributary to McDonell Lake,8547_us_ef3,stream,,,,,,2023-09-20,,9,589969,6072710,,,16:35:55
31,,Dale Creek,198215_ds_ef1,stream,,,,,,2023-09-21,,9,582200,6135014,,,13:05:22
32,,Dale Creek,198215_ds_ef2,stream,,,,,,2023-09-21,,9,582209,6135015,,,13:37:42
33,,Dale Creek,198215_ds_ef3,stream,,,,,,2023-09-21,,9,582226,6135015,,,13:54:30
34,,Dale Creek,198215_us_ef1,stream,,,,,,2023-09-21,,9,582144,6135023,,,14:54:07
35,,Dale Creek,198215_us_ef2,stream,,,,,,2023-09-21,,9,582128,6135028,,,15:24:17
36,,Dale Creek,198215_us_ef3,stream,,,,,,2023-09-21,,9,582116,6135031,,,15:31:44
37,,Tributary to Skeena River,198217_us_ef1,stream,,,,,,2023-09-22,,9,582272,6130911,,,11:29:05
38,,Tributary to Skeena River,198217_us_ef2,stream,,,,,,2023-09-22,,9,582259,6130925,,,11:35:16
39,,Tributary to Skeena River,198217_us_ef3,stream,,,,,,2023-09-22,,9,582252,6130939,,,11:46:12
40,,Tributary to Skeena River,198217_ds_ef1,stream,,,,,,2023-09-22,,9,582876,6130483,,,14:07:03
41,,Tributary to Skeena River,198217_ds_ef2,stream,,,,,,2023-09-22,,9,582868,6130485,,,14:23:29
42,,Tributary to Skeena River,198217_ds_ef3,stream,,,,,,2023-09-22,,9,582861,6130490,,,14:24:18
43,,Tributary to Tagit Creek,197949_us,stream,,,,,,2023-09-27,,9,614391,6010358,,,11:21:38
44,,Tributary to Tagit Creek,198022_ds,stream,,,,,,2023-09-27,,9,614883,6009868,,,13:31:33
45,,Thompson Creek,123377_ds_ef3,stream,,,,,,2023-09-14,,9,641618,6049402,,,14:56:55
46,,Helps Creek,124500_ds_ef1,stream,,,,,,2023-09-15,,9,627620,6058938,,,13:52:50
47,,Helps Creek,124500_ds_ef2,stream,,,,,,2023-09-15,,9,627620,6058930,,,14:20:10
48,,Helps Creek,124500_ds_ef3,stream,,,,,,2023-09-15,,9,627609,6058917,,,14:38:50
49,,Helps Creek,124500_us_ef3,stream,,,,,,2023-09-15,,9,627537,6058635,,,16:15:49
50,,Helps Creek,124500_us_ef1,stream,,,,,,2023-09-15,,9,627541,6058667,,,16:32:07
51,,Helps Creek,124500_us_ef2,stream,,,,,,2023-09-15,,9,627540,6058654,,,16:46:58
52,,Tributary to Houston Tommy Creek,14000571_us,stream,,,,,,2023-09-16,,9,631697,6017428,,,10:47:07
53,,Tributary to Coal Creek,8525_ds,stream,,,,,,2023-09-18,,9,580618,6074538,,,11:24:38
54,,Tributary to Coal Creek,8525_us,stream,,,,,,2023-09-18,,9,581054,6074699,,,12:49:28
55,,Tributary to Coal Creek,8525_us2,stream,,,,,,2023-09-18,,9,582415,6075427,,,15:22:21
56,,Tributary to McDonell Lake,8547_ds2,stream,,,,,,2023-09-18,,9,590949,6071965,,,16:59:44
57,,Tributary to McDonell Lake,8478_ds,stream,,,,,,2023-09-19,,9,589913,6069977,,,10:29:22
58,,Tributary to Zymoetz River,24601280_us,stream,,,,,,2023-09-19,,9,597625,6070210,,,17:33:59
59,,Tributary to Zymoetz River,24601280_ds,stream,,,,,,2023-09-19,,9,597717,6070257,,,18:31:39
60,,Tributary to Zymoetz River ,8543_us,stream,,,,,,2023-09-20,,9,592157,6072361,,,10:35:09
61,,Gramophone Creek,58067_ds,stream,,,,,,2023-09-24,,9,609040,6093110,,,10:55:05
62,,Gramophone Creek,58067_ds2,stream,,,,,,2023-09-24,,9,607606,6093513,,,12:13:53
63,,Tributary to Tagit Creek ,198022_us,stream,,,,,,2023-09-27,,9,614704,6009978,,,10:54:14
64,,Tributary to Tagit Creek,198022_ds_ef1,stream,,,,,,2023-09-27,,9,614721,6009969,,,13:42:45
65,,Tributary to Tagit Creek,198022_us_ef1,stream,,,,,,2023-09-27,,9,614401,6010343,,,15:35:21
