rowid,reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date
1,,Tributary to Zymoetz River,8543_ds,,,,2.3,2.1,1.8,3.4,3,1.9,,,metre tape,0.8,0.5,,,,,,,metre tape,0.64,,,,,,,,metre stick,0.4,0.4,0.5,0.7,,metre stick,3,3,4,1,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,sub-dominant,trace,sub-dominant,sub-dominant,dominant,trace,41-70%,few,evenly distributed,vascular plants,sloping,cobbles,gravels,mixed forest,initial,sloping,cobbles,gravels,mixed forest,initial,cobbles,gravels,,,,irregular meanders,Coupled,frequently confined,,,,,9,592248,6072202,,Dried up stream. Slope gradually flattened out. 12:49:38,2023-09-20
2,,Tributary to McDonell Lake,8547_ds,,,,1.9,2.3,1.9,1.8,1.8,2.1,2,,metre tape,0.2,0.6,0.7,1.2,0.8,0.3,1.1,,metre tape,0.2,0.2,0.32,0.3,0.23,,,,metre stick,0.23,0.3,0.2,0.2,,metre stick,14,10,9,11,,clinometer,moderate,,5.9,recording meter,113,recording meter,7.9,pH meter (general),clear,moderate,sub-dominant,dominant,sub-dominant,sub-dominant,trace,sub-dominant,trace,41-70%,abundant,evenly distributed,mosses,sloping,cobbles,boulders,coniferous forest,mature forest,sloping,cobbles,boulders,coniferous forest,mature forest,boulders,cobbles,,,step-pool,irregular meanders,Coupled,frequently confined,LWD Jam,2,3,,9,590138,6072526,,Slow shallow stream with abundant lwd and over hanging veg. Shallow pools with large rocks for fish shelter.15:04:49,2023-09-20
3,,Tributary to Owen Creek,197378_ds_ef1,,,,2.9,3.2,,,,,,,metre tape,2.8,3.2,,,,,,,metre tape,0.7,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,8.9,recording meter,70,recording meter,8.5,pH meter (general),Lightly Turbid,moderate,sub-dominant,trace,none,dominant,sub-dominant,sub-dominant,none,0,few,clumped,none,undercut,cobbles,,shrubs,shrub,undercut,cobbles,,shrubs,shrub,gravels,cobbles,,,step-pool,straight,,,,,,,9,645112,5998805,,Fished section in outlet pool. Deep and wide section. Undercut banks on both sides. 12:12:24,2023-09-13
4,,Tributary to Owen Creek,197378_us_ef1,,,,2.2,2.6,,,,,,,metre tape,2,2.4,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,0,,,,,clinometer,moderate,,8.9,recording meter,70,recording meter,8.5,pH meter (general),Lightly Turbid,trace,,,,,,,,,,,,,,,,,,,,,,fines,gravels,,,,,,,,,,,9,645029,5998834,,Wetland type area with wide channel and grassy habitat. Some fish caught. 13:37:09,2023-09-13
5,,Riddeck Creek,197360_ds_ef1,,,,3.9,3.5,,,,,,,metre tape,3.6,3.3,3.3,3.3,,,,,metre tape,0.6,,,,,,,,metre stick,,,,,,metre stick,0,,,,,clinometer,low,,11,recording meter,197,recording meter,8.2,pH meter (general),Moderately Turbid,moderate,dominant,sub-dominant,none,sub-dominant,sub-dominant,trace,none,1-20%,few,clumped,none,,,,,,,,,,,Gravels,Cobbles,,,,,,,,,,,9,649898,5992410,,"Turbid, murky pool with abundant small and large woody debris. Difficult fishing conditions. Fished the lower end of culvert outlet pool. Stream was watered only at outlet and occasional pools, otherwise channel was dry. 15:09:08",2023-09-13
6,,Riddeck Creek ,197360_us_ef1,,,,2.7,2.6,,,,,,,metre tape,0.6,2.3,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,,,,,clinometer,low,,10.1,recording meter,222,recording meter,7.7,pH meter (general),Lightly Turbid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,650116,5992672,,"Lots of green algae in creek, possibly cow poo. Wetted channel starts out wide and narrows farther up. Some undercut present. Shallow stream. 16:05:22",2023-09-13
7,,Thompson Creek,123377_us_ef1,,,,4.6,,,,,,,,metre tape,4.4,,,,,,,,metre tape,0.6,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7.2,recording meter,272,recording meter,8.5,pH meter (general),lightly turbid,trace,trace,sub-dominant,none,trace,dominant,sub-dominant,none,1-20%,none,clumped,none,V-shaped,cobbles,,deciduous forest,mature forest,sloping,gravels,,deciduous forest,young forest,gravels,cobbles,,,step-pool,straight,,,,,,,9,641658,6049371,,Wide deep pool downstream of lwd debris jam.  Many fish caught. Approximately 20m from inlet of culvert. 10:01:35,2023-09-14
8,,Thompson Creek,123377_us_ef2,,,,3.7,4.2,,,,,,,metre tape,3,3.4,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,1,,,,,clinometer,moderate,,7.2,recording meter,272,recording meter,8.5,pH meter (general),lightly turbid,trace,trace,trace,none,none,none,trace,none,1-20%,none,not applicable,none,V-shaped,gravels,,deciduous forest,mature forest,sloping,fines,,deciduous forest,mature forest,gravels,fines,,,riffle-pool,straight,,,,,,,9,641655,6049351,,"Shallow, riffle pool habitat. Some fish caught hiding in stream substrate. Little to no cover or woody debris in stream.11:04:26",2023-09-14
9,,Thompson Creek,123377_us_ef3,,,,3.6,2.8,,,,,,,metre tape,2.8,1.9,,,,,,,metre tape,0.4,,,,,,,,metre stick,,,,,,metre stick,1,,,,,clinometer,moderate,,7.2,recording meter,272,recording meter,8.5,pH meter (general),lightly turbid,trace,sub-dominant,trace,trace,none,trace,trace,none,1-20%,none,not applicable,none,V-shaped,gravels,cobbles,deciduous forest,mature forest,sloping,cobbles,gravels,grass,not applicable,cobbles,gravels,,,riffle-pool,regular meanders,,,,,,,9,641670,6049329,,Small pool by debris jam at bottom end of site where most fish were caught. Rest of site consists of shallow glide. Lightly turbid water conditions.11:39:43,2023-09-14
10,,Thompson Creek,123377_ds_ef1,,,,3.7,4,,,,,,,metre tape,2.1,2.6,,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,moderate,,7.2,recording meter,272,recording meter,8.3,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,riffle-pool,sinuous,,,,,,,9,641612,6049412,,Glide habitat with abundant boulder cover and cobble stream substrate.13:38:14,2023-09-14
