reference_number,alias_local_name,site,location,gazetted_name,alias_corrected,waterbody_type,waterbody_id,watershed_code_50k
1,8543_ds,8543,ds,Tributary to Zymoetz River,,stream,00000ZYMO,440-854000-00000-00000-0000-0000-000-000-000-000-000-000
2,8547_ds,8547,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
3,197378_ds_ef1,197378,ds,Tributary to Owen Creek,,stream,00000MORR,460-600600-23900-59400-0000-0000-000-000-000-000-000-000
4,197378_us_ef1,197378,us,Tributary to Owen Creek,,stream,00000MORR,460-600600-23900-59400-0000-0000-000-000-000-000-000-000
5,197360_ds_ef1,197360,ds,Riddeck Creek,,stream,00000MORR,460-600600-23900-95600-0000-0000-000-000-000-000-000-000
6,197360_us_ef1,197360,us,Riddeck Creek,,stream,00000MORR,460-600600-23900-95600-0000-0000-000-000-000-000-000-000
7,123377_us_ef1,123377,us,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
8,123377_us_ef2,123377,us,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
9,123377_us_ef3,123377,us,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
10,123377_ds_ef1,123377,ds,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
11,123377_ds_ef2,123377,ds,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
12,198942_us,198942,us,Tributary to Houston Tommy Creek,,stream,00000MORR,460-600600-17000-18900-0000-0000-000-000-000-000-000-000
13,198934_ds,198934,ds,Tributary to Houston Tommy Creek,,stream,00000MORR,460-600600-17000-18900-0000-0000-000-000-000-000-000-000
14,8525_ds_ef1,8525,ds,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
15,8525_ds_ef2,8525,ds,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
16,8525_ds_ef3,8525,ds,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
17,8525_us_ef1,8525,us,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
18,8525_us_ef2,8525,us,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
19,8525_us_ef3,8525,us,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
20,8478_ds_ef1,8478,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-828600-00000-00000-0000-0000-000-000-000-000-000-000
21,8478_ds_ef2,8478,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-828600-00000-00000-0000-0000-000-000-000-000-000-000
22,8478_ds_ef3,8478,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-828600-00000-00000-0000-0000-000-000-000-000-000-000
23,8478_us,8478,us,Tributary to McDonell Lake,,stream,00000ZYMO,440-828600-00000-00000-0000-0000-000-000-000-000-000-000
24,8547_us,8547,us,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
25,8547_ds_ef1,8547,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
26,8547_ds_ef2,8547,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
27,8547_ds_ef3,8547,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
28,8547_us_ef1,8547,us,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
29,8547_us_ef2,8547,us,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
30,8547_us_ef3,8547,us,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
31,198215_ds_ef1,198215,ds,Dale Creek,,stream,00000KISP,470-009300-00000-00000-0000-0000-000-000-000-000-000-000
32,198215_ds_ef2,198215,ds,Dale Creek,,stream,00000KISP,470-009300-00000-00000-0000-0000-000-000-000-000-000-000
33,198215_ds_ef3,198215,ds,Dale Creek,,stream,00000KISP,470-009300-00000-00000-0000-0000-000-000-000-000-000-000
34,198215_us_ef1,198215,us,Dale Creek,,stream,00000KISP,470-009300-00000-00000-0000-0000-000-000-000-000-000-000
35,198215_us_ef2,198215,us,Dale Creek,,stream,00000KISP,470-009300-00000-00000-0000-0000-000-000-000-000-000-000
36,198215_us_ef3,198215,us,Dale Creek,,stream,00000KISP,470-009300-00000-00000-0000-0000-000-000-000-000-000-000
37,198217_us_ef1,198217,us,Tributary to Skeena River,,stream,00000KISP,400-448500-00000-00000-0000-0000-000-000-000-000-000-000
38,198217_us_ef2,198217,us,Tributary to Skeena River,,stream,00000KISP,400-448500-00000-00000-0000-0000-000-000-000-000-000-000
39,198217_us_ef3,198217,us,Tributary to Skeena River,,stream,00000KISP,400-448500-00000-00000-0000-0000-000-000-000-000-000-000
40,198217_ds_ef1,198217,ds,Tributary to Skeena River,,stream,00000KISP,400-448500-00000-00000-0000-0000-000-000-000-000-000-000
41,198217_ds_ef2,198217,ds,Tributary to Skeena River,,stream,00000KISP,400-448500-00000-00000-0000-0000-000-000-000-000-000-000
42,198217_ds_ef3,198217,ds,Tributary to Skeena River,,stream,00000KISP,400-448500-00000-00000-0000-0000-000-000-000-000-000-000
43,197949_us,197949,us,Tributary to Tagit Creek,,stream,00000MORR,460-600600-44500-38900-0000-0000-000-000-000-000-000-000
44,198022_ds,198022,ds,Tributary to Tagit Creek,,stream,00000MORR,460-600600-44500-00000-0000-0000-000-000-000-000-000-000
45,123377_ds_ef3,123377,ds,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
46,124500_ds_ef1,124500,ds,Helps Creek,,stream,00000BULK,460-437000-00000-00000-0000-0000-000-000-000-000-000-000
47,124500_ds_ef2,124500,ds,Helps Creek,,stream,00000BULK,460-437000-00000-00000-0000-0000-000-000-000-000-000-000
48,124500_ds_ef3,124500,ds,Helps Creek,,stream,00000BULK,460-437000-00000-00000-0000-0000-000-000-000-000-000-000
49,124500_us_ef3,124500,us,Helps Creek,,stream,00000BULK,460-437000-00000-00000-0000-0000-000-000-000-000-000-000
50,124500_us_ef1,124500,us,Helps Creek,,stream,00000BULK,460-437000-00000-00000-0000-0000-000-000-000-000-000-000
51,124500_us_ef2,124500,us,Helps Creek,,stream,00000BULK,460-437000-00000-00000-0000-0000-000-000-000-000-000-000
52,198934_us,198934,us,Tributary to Houston Tommy Creek,,stream,00000MORR,460-600600-17000-18900-0000-0000-000-000-000-000-000-000
53,8525_ds,8525,ds,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
54,8525_us,8525,us,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
55,8525_us2,8525,us2,Tributary to Coal Creek,,stream,00000ZYMO,440-741100-11200-00000-0000-0000-000-000-000-000-000-000
56,8547_ds2,8547,ds2,Tributary to McDonell Lake,,stream,00000ZYMO,440-847000-00000-00000-0000-0000-000-000-000-000-000-000
57,8478_ds,8478,ds,Tributary to McDonell Lake,,stream,00000ZYMO,440-828600-00000-00000-0000-0000-000-000-000-000-000-000
58,198947_us,198947,us,Tributary to Zymoetz River,,stream,00000ZYMO,440-928400-00000-00000-0000-0000-000-000-000-000-000-000
59,198947_ds,198947,ds,Tributary to Zymoetz River,,stream,00000ZYMO,440-928400-00000-00000-0000-0000-000-000-000-000-000-000
60,8543_us,8543,us,Tributary to Zymoetz River,,stream,00000ZYMO,440-854000-00000-00000-0000-0000-000-000-000-000-000-000
61,58067_ds,58067,ds,Gramophone Creek,,stream,00000BULK,460-223800-00000-00000-0000-0000-000-000-000-000-000-000
62,58067_ds2,58067,ds2,Gramophone Creek,,stream,00000BULK,460-223800-00000-00000-0000-0000-000-000-000-000-000-000
63,198022_us,198022,us,Tributary to Tagit Creek,,stream,00000MORR,460-600600-44500-00000-0000-0000-000-000-000-000-000-000
64,198022_ds_ef1,198022,ds,Tributary to Tagit Creek,,stream,00000MORR,460-600600-44500-00000-0000-0000-000-000-000-000-000-000
65,198022_us_ef1,198022,us,Tributary to Tagit Creek,,stream,00000MORR,460-600600-44500-00000-0000-0000-000-000-000-000-000-000
66,123377_ds_ef4,123377,ds,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
67,123377_ds_ef5,123377,ds,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
68,123377_ds_ef6,123377,ds,Thompson Creek,,stream,00000BULK,460-517700-00000-00000-0000-0000-000-000-000-000-000-000
