rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
5,8478,8478,,pscis_phase2.xlsm,Barrier,3,1.5,-1.5,Replace with New Open Bottom Structure,15
6,8525,8525,,pscis_phase2.xlsm,Barrier,1.4,2,-1,Replace Structure with Streambed Simulation CBS,3
7,8543,8543,,pscis_phase2.xlsm,Barrier,1.8,1,-2,Replace Structure with Streambed Simulation CBS,3
8,8547,8547,,pscis_phase2.xlsm,Barrier,0.95,3,0,Replace Structure with Streambed Simulation CBS,3
9,123377,123377,,pscis_phase2.xlsm,Barrier,4.1,1,-2,Replace with New Open Bottom Structure,15
10,124500,124500,,pscis_phase2.xlsm,Barrier,3.2,0.8,-2.2,Replace with New Open Bottom Structure,15
11,197949,197949,,pscis_phase2.xlsm,Barrier,2,1.2,-1.8,Replace with New Open Bottom Structure,15
12,198022,198022,,pscis_phase2.xlsm,Barrier,2.8,2,-1,Replace with New Open Bottom Structure,15
13,198215,198215,,pscis_phase2.xlsm,Barrier,4.2,4,1,Replace with New Open Bottom Structure,18
14,198217,198217,,pscis_phase2.xlsm,Barrier,4.5,1.2,-1.8,Replace with New Open Bottom Structure,15
