pscis_crossing_id,my_crossing_reference,crew_members,moti_chris_culvert_id,stream_name,road_name,erosion_issues,embankment_fill_issues,blockage_issues,condition_rank,condition_notes,likelihood_flood_event_affecting_culvert,consequence_flood_event_affecting_culvert,climate_change_flood_risk,vulnerability_rank,climate_notes,traffic_volume,community_access,cost,constructability,fish_bearing,environmental_impacts,priority_rank,overall_rank,priority_notes
8530,4600913,MateoW,NA,Sandstone Creek,McDonell FSR,1,1,1,3,NA,1,2,2,5,NA,3,8,4,4,10,7,36,41,NA
198200,8300012,MateoW,1528424,Tea Creek,Moore Road,1,1,1,3,"Embedded structure, very good condition.",1,1,1,4,Large system with wide channel.,3,8,8,9,10,7,45,49,NA
198208,8300030,newgraph_airvine,NA,Tributary to Sweetin River,Kispiox Valley Road,1,1,2,4,Large amount of debris at the inlet.,1,1,1,5,This stream appears to be mostly just a runoff and high flow event drainage. Seems unlikely that large quantities of water come through here as the channel is so small and poorly defined.,5,6,7,7,0,10,35,40,Very unlikely that this is a fish bearing stream and seems like the risk to the road is low.
198219,8300033,newgraph_airvine,NA,Tributary to Kispiox River,Seventeen Mile Road in,1,1,2,4,Debris catcher on the inlet is separating from the pipe and is jammed up with debris. Plastic pipe appears recently installed.,2,3,6,10,Only access road to several residences. Very little amount of Phil indicates that with high volume of precipitation the road would wash out.,2,8,9,8,0,8,35,45,No fisheries information available but very close to the Kispiox mainstem. Modelled crossing mapped as located downstream on private land but could not be accessed.
198215,8300042,newgraph_airvine,1524776,Tributary to Kispiox River,Date Creek FSR,1,1,2,4,"Right pipe completely blocked. Structure appears near the end of life. Although ineffective, historic work done downstream to try to backwater the structure.",1,3,3,7,Large tributary so significant flood eventscould wash out the Date Creek FSR.,3,3,5,5,10,7,33,40,"Some residences on this road so potentially joint MoTi and MoF management.  Deep fill will make replacement difficult, costs high and blow out consequences significant.  "
198216,8300054,newgraph_airvine,3321227,Tributary to Skeena River,Kispiox Valley Road,1,1,2,4,Large amount of flow is going in between the two pipes and not through them. Trash guards on inlets are quite damaged. Beaverdams located immediately down stream. Roadfill material is made of road barriers. Pipes are in bad shape.,1,4,4,8,Significant amounts of water moving through here and this highway is a major corridor for people living in the Kispiox community and associated valley upstream.,8,10,2,2,10,9,41,49,NA
198199,8300103,MateoW,NA,Trib to Kispiox River,Kispiox Valley Road,1,1,1,3,NA,2,2,4,7,NA,5,7,6,7,0,7,32,39,NA
198198,8300104,MateoW,NA,Trib to Kispiox River,Kispiox Valley Road,1,1,1,3,NA,2,2,4,7,NA,5,7,5,6,0,7,30,37,NA
198197,8300105,MateoW,3321236,Trib to Kispiox River,Kispiox Valley Road,2,1,1,4,NA,2,2,4,8,NA,5,7,4,6,10,6,38,46,NA
198230,8300108,MateoW,NA,Trib to Sammon Lake,Kispiox Valley Road,1,1,1,3,NA,2,2,4,7,NA,6,7,7,7,10,7,44,51,NA
198209,8300111,newgraph_airvine,1524149,Tributary to Kispiox River,Kispiox Valley Road,1,1,1,3,NA,1,3,3,6,The stream does not appear to flow very much as it was surveyed in a very wet. And there is no flow at this time.,5,5,7,7,0,1,25,31,NA
198185,8300115,MateoW,NA,Trib to McCully Creek,Helen Lake FSR,1,1,1,3,NA,1,1,1,4,NA,2,9,8,8,0,8,35,39,NA
198206,8300118,newgraph_airvine,1525645,Tributary to McCully Creek,Helen Lake Road,1,1,1,3,NA,1,1,1,4,NA,1,5,1,10,0,10,27,31,NA
198225,8300128,jesse olson,NA,Sterritt creek,Babine slide fsr,1,1,1,3,Culvert is separated in areas and slumping,4,3,12,15,High bank full depth,3,8,7,4,1,8,31,46,NA
198186,8300162,MateoW,1524552,NA,Poplar Park Road,1,1,2,4,A lot of mud and debris in culvert,1,1,1,5,NA,4,8,7,8,0,8,35,40,NA
198221,8300178,newgraph_airvine,1529688,Tributary to Kitwanga River,11A Ave,1,1,2,4,1 m high Beaverdam immediately upstream in the inlet. Left pipe has extension on it going underneath the Beaverdam. Inlet appears to have been recently dug out to three blockage issues. There is a old piece of culvert sticking out upstream of the Beaverdam dam.,4,1,4,8,Large flow events would likely overwhelm the culvert but there is multiple access points to the community so it could be repaired without significant issues.,1,1,1,9,10,9,31,39,"Although there is a fiss sample site downstream there is no fisheries information for the system. However, because it is so close to the Kitwanga River fish presentce downstream is likely. "
198196,8300186,MateoW,1524780,Trib to Kispiox River,Date Creek FSR,2,1,1,4,NA,1,1,1,5,NA,7,9,6,5,0,6,33,38,NA
198202,8300188,MateoW,1529371,Trib to Kitwanga River,Hwy 37,1,1,1,3,NA,3,5,15,18,NA,9,8,2,4,0,4,27,45,NA
198201,8300917,MateoW,1528426,Tributary to Tea Creek,Moore Road,3,2,1,6,Some bad erosion near outlet.,2,2,4,10,NA,5,9,8,8,10,7,47,57,NA
198217,8301485,NA,NA,Trib to Skeena,Sik e Dakh water tower road,3,1,2,6,Trash rack was removed. Deep outlet pool.,3,5,15,21,This is the only access road to the village water treatment plant saw a blow out of the road could have serious implications.,1,3,9,10,10,6,39,60,Water treatment plant further up the road. The road is the only access.
198193,8301747,MateoW,NA,Trib to Cullon Creek,Kudos FSR,2,1,1,4,NA,1,1,1,5,NA,2,10,4,6,0,5,27,32,NA
198193,8301747,MateoW,NA,Trib to Cullon Creek,Kuldo FSR,2,1,1,4,NA,1,1,1,5,NA,2,10,4,6,0,5,27,32,NA
198214,8301748,newgraph_airvine,NA,Tributary to Cullon Creek,Kuldo Creek,1,1,1,3,Some debris just upstream of the inlet but nothing severe,1,1,1,4,Decent flow due to heavy rains.,1,7,10,10,0,10,38,42,Small stream and unlikely fish bearing.
198213,8301749,newgraph_airvine,NA,Tributary to Cullon Creek,Kuldo FSR,1,1,3,5,Culvet is completely blocked. Could not locate inlet. Outlet of culvert is extremely corroded.,1,1,1,6,This culvert does not appear to really do anything since it is completely plugged and there is no evidence that there are issues for drainage in this area.,1,7,10,10,0,10,38,44,NA
198194,8301750,MateoW,NA,Trib to Cullon Creek,Kudos FSR,1,1,1,3,NA,2,2,4,7,NA,8,9,5,4,0,7,33,40,NA
198212,8301754,newgraph_bute,NA,Trib to cullon,Kuldo,1,1,1,3,Baffles and culvert in good condition,1,1,1,4,NA,2,7,7,5,10,9,40,44,NA
198195,8301761,MateoW,NA,Trib to Cullon Creek,Kuldo FSD,2,1,1,4,NA,2,2,4,8,NA,9,9,8,8,0,7,41,49,NA
198191,8302061,MateoW,NA,Trib to Kispiox River,Corral Main,1,1,1,3,NA,2,2,4,7,NA,2,9,9,6,0,7,33,40,NA
198192,8302062,MateoW,NA,Trib to Kispiox River,Corral Main,1,1,1,3,NA,2,2,4,7,NA,2,9,7,8,0,7,33,40,NA
198182,8302064,MateoW,NA,NA,Helen Lake FSR,1,1,1,3,Culvert is a little rusted but in ok condition,1,1,1,4,NA,2,9,7,8,0,8,34,38,NA
198205,8302065,newgraph_airvine,NA,Tributary to Kispiox River,Helen FSR,0,1,1,2,NA,1,1,1,3,NA,1,10,1,1,0,10,23,26,NA
198222,8302257,NA,NA,Pinenut creek,Salmon River road,2,1,1,4,NA,2,1,2,6,NA,4,5,5,5,10,4,33,39,NA
198210,8302403,newgraph_airvine,NA,Tributary to Kispiox River,Mitten FSR,1,1,1,3,Significant buildup of material at the inlet,3,1,3,6,Stream channel is large indicating there are large runoffs at some times of the year.,1,1,1,10,0,10,23,29,This road is way out and the poor condition of it indicates it doesn’t get a lot of use.
198204,8302421,newgraph_airvine,NA,Tributary to Kispiox River,Helen 9000,0,0,3,3,Guessing that this covert is completely blocked by fever.,4,1,4,7,NA,1,10,1,1,5,10,28,35,NA
198190,8302683,MateoW,NA,Sweetie River,Nangeese FSR,1,1,1,3,NA,2,2,4,7,NA,2,10,9,8,0,9,38,45,NA
198207,2022090501,newgraph_airvine,1524566,Tributary to Kispiox River,Poplar Park Rd,1,1,2,4,NA,1,3,3,7,NA,1,1,10,10,0,10,32,39,NA
2880,NA,newgraph_bute,NA,Mooluck creek,Kuldo,1,1,1,3,Culvert in generally decent condition,1,1,1,4,NA,1,8,4,3,10,9,35,39,NA
198220,NA,jesse olson,NA,Trib to kitwanga river,Highway 37,3,1,1,5,Backwatering from previous remediation has failed. There is a big outlet drop.,1,5,5,10,Large system with a wide channel. Deep fill so  failure would cause extensive damage to highwy and dump large quantities of sediments into Kitwanga River.,9,1,1,2,10,2,25,35,Structure is located on major highway with large amounts of fill. Replacement would be very expensive with large impact on traffic flow.
